"Step","full_policy_DDQN - DDPG_4/score","full_policy_DDQN - DDPG_4/score__MIN","full_policy_DDQN - DDPG_4/score__MAX"
"1648","19","19","19"
"1649","14","14","14"
"1650","12","12","12"
"1651","16","16","16"
"1652","24","24","24"
"1653","10","10","10"
"1654","12","12","12"
"1655","9","9","9"
"1656","18","18","18"
"1657","15","15","15"
"1658","11","11","11"
"1659","15","15","15"
"1660","26","26","26"
"1661","17","17","17"
"1662","18","18","18"
"1663","11","11","11"
"1664","21","21","21"
"1665","22","22","22"
"1666","11","11","11"
"1667","14","14","14"
"1668","16","16","16"
"1669","13","13","13"
"1670","25","25","25"
"1671","19","19","19"
"1672","18","18","18"
"1673","23","23","23"
"1674","14","14","14"
"1675","11","11","11"
"1676","16","16","16"
"1677","15","15","15"
"1678","9","9","9"
"1679","30","30","30"
"1680","14","14","14"
"1681","16","16","16"
"1682","16","16","16"
"1683","23","23","23"
"1684","15","15","15"
"1685","13","13","13"
"1686","16","16","16"
"1687","12","12","12"
"1688","13","13","13"
"1689","15","15","15"
"1690","12","12","12"
"1691","22","22","22"
"1692","30","30","30"
"1693","11","11","11"
"1694","15","15","15"
"1695","11","11","11"
"1696","9","9","9"
"1697","14","14","14"
"1698","9","9","9"
"1699","8","8","8"
"1700","11","11","11"
"1701","14","14","14"
"1702","10","10","10"
"1703","16","16","16"
"1704","9","9","9"
"1705","10","10","10"
"1706","14","14","14"
"1707","18","18","18"
"1708","9","9","9"
"1709","9","9","9"
"1710","10","10","10"
"1711","12","12","12"
"1712","11","11","11"
"1713","12","12","12"
"1714","11","11","11"
"1715","40","40","40"
"1716","11","11","11"
"1717","10","10","10"
"1718","11","11","11"
"1719","14","14","14"
"1720","9","9","9"
"1721","10","10","10"
"1722","20","20","20"
"1723","14","14","14"
"1724","12","12","12"
"1725","17","17","17"
"1726","14","14","14"
"1727","10","10","10"
"1728","12","12","12"
"1729","10","10","10"
"1730","11","11","11"
"1731","11","11","11"
"1732","16","16","16"
"1733","9","9","9"
"1734","11","11","11"
"1735","12","12","12"
"1736","10","10","10"
"1737","8","8","8"
"1738","9","9","9"
"1739","10","10","10"
"1740","10","10","10"
"1741","13","13","13"
"1742","12","12","12"
"1743","10","10","10"
"1744","11","11","11"
"1745","16","16","16"
"1746","12","12","12"
"1747","12","12","12"
"1748","13","13","13"
"1749","11","11","11"
"1750","14","14","14"
"1751","10","10","10"
"1752","13","13","13"
"1753","21","21","21"
"1754","19","19","19"
"1755","36","36","36"
"1756","38","38","38"
"1757","73","73","73"
"1758","62","62","62"
"1759","53","53","53"
"1760","53","53","53"
"1761","135","135","135"
"1762","43","43","43"
"1763","83","83","83"
"1764","96","96","96"
"1765","181","181","181"
"1766","156","156","156"
"1767","65","65","65"
"1768","52","52","52"
"1769","109","109","109"
"1770","99","99","99"
"1771","80","80","80"
"1772","66","66","66"
"1773","61","61","61"
"1774","79","79","79"
"1775","281","281","281"
"1776","152","152","152"
"1777","143","143","143"
"1778","101","101","101"
"1779","115","115","115"
"1780","112","112","112"
"1781","224","224","224"
"1782","165","165","165"
"1783","309","309","309"
"1784","91","91","91"
"1785","125","125","125"
"1786","208","208","208"
"1787","137","137","137"
"1788","170","170","170"
"1789","244","244","244"
"1790","91","91","91"
"1791","148","148","148"
"1792","150","150","150"
"1793","84","84","84"
"1794","125","125","125"
"1795","261","261","261"
"1796","204","204","204"
"1797","238","238","238"
"1798","171","171","171"
"1799","177","177","177"
"1800","145","145","145"
"1801","348","348","348"
"1802","304","304","304"
"1803","287","287","287"
"1804","307","307","307"
"1805","157","157","157"
"1806","161","161","161"
"1807","175","175","175"
"1808","165","165","165"
"1809","175","175","175"
"1810","190","190","190"
"1811","188","188","188"
"1812","188","188","188"
"1813","191","191","191"
"1814","148","148","148"
"1815","233","233","233"
"1816","280","280","280"
"1817","321","321","321"
"1818","185","185","185"
"1819","373","373","373"
"1820","193","193","193"
"1821","401","401","401"
"1822","328","328","328"
"1823","500","500","500"
"1824","197","197","197"
"1825","307","307","307"
"1826","217","217","217"
"1827","222","222","222"
"1828","271","271","271"
"1829","201","201","201"
"1830","196","196","196"
"1831","210","210","210"
"1832","302","302","302"
"1833","190","190","190"
"1834","264","264","264"
"1835","258","258","258"
"1836","228","228","228"
"1837","282","282","282"
"1838","313","313","313"
"1839","405","405","405"
"1840","249","249","249"
"1841","473","473","473"
"1842","319","319","319"
"1843","193","193","193"
"1844","369","369","369"
"1845","373","373","373"
"1846","282","282","282"
"1847","323","323","323"
"1848","448","448","448"
"1849","479","479","479"
"1850","481","481","481"
"1851","181","181","181"
"1852","227","227","227"
"1853","271","271","271"
"1854","274","274","274"
"1855","236","236","236"
"1856","201","201","201"
"1857","305","305","305"
"1858","236","236","236"
"1859","396","396","396"
"1860","261","261","261"
"1861","198","198","198"
"1862","236","236","236"
"1863","184","184","184"
"1864","234","234","234"
"1865","177","177","177"
"1866","191","191","191"
"1867","180","180","180"
"1868","335","335","335"
"1869","205","205","205"
"1870","192","192","192"
"1871","180","180","180"
"1872","458","458","458"
"1873","185","185","185"
"1874","215","215","215"
"1875","308","308","308"
"1876","308","308","308"
"1877","170","170","170"
"1878","199","199","199"
"1879","245","245","245"
"1880","196","196","196"
"1881","317","317","317"
"1882","325","325","325"
"1883","190","190","190"
"1884","260","260","260"
"1885","213","213","213"
"1886","228","228","228"
"1887","163","163","163"
"1888","294","294","294"
"1889","224","224","224"
"1890","203","203","203"
"1891","269","269","269"
"1892","221","221","221"
"1893","177","177","177"
"1894","306","306","306"
"1895","202","202","202"
"1896","251","251","251"
"1897","206","206","206"
"1898","284","284","284"
"1899","256","256","256"
"1900","298","298","298"
"1901","280","280","280"
"1902","224","224","224"
"1903","161","161","161"
"1904","217","217","217"
"1905","166","166","166"
"1906","348","348","348"
"1907","269","269","269"
"1908","272","272","272"
"1909","233","233","233"
"1910","174","174","174"
"1911","190","190","190"
"1912","346","346","346"
"1913","208","208","208"
"1914","196","196","196"
"1915","170","170","170"
"1916","160","160","160"
"1917","163","163","163"
"1918","179","179","179"
"1919","178","178","178"
"1920","270","270","270"
"1921","181","181","181"
"1922","178","178","178"
"1923","259","259","259"
"1924","224","224","224"
"1925","186","186","186"
"1926","188","188","188"
"1927","222","222","222"
"1928","168","168","168"
"1929","201","201","201"
