"Step","full_policy_DDQN - DDPG_2/score","full_policy_DDQN - DDPG_2/score__MIN","full_policy_DDQN - DDPG_2/score__MAX"
"1048","16","16","16"
"1049","20","20","20"
"1050","14","14","14"
"1051","17","17","17"
"1052","26","26","26"
"1053","15","15","15"
"1054","26","26","26"
"1055","24","24","24"
"1056","50","50","50"
"1057","9","9","9"
"1058","24","24","24"
"1059","34","34","34"
"1060","13","13","13"
"1061","11","11","11"
"1062","20","20","20"
"1063","22","22","22"
"1064","10","10","10"
"1065","20","20","20"
"1066","24","24","24"
"1067","10","10","10"
"1068","14","14","14"
"1069","17","17","17"
"1070","11","11","11"
"1071","16","16","16"
"1072","17","17","17"
"1073","8","8","8"
"1074","10","10","10"
"1075","14","14","14"
"1076","12","12","12"
"1077","12","12","12"
"1078","9","9","9"
"1079","12","12","12"
"1080","13","13","13"
"1081","24","24","24"
"1082","13","13","13"
"1083","25","25","25"
"1084","13","13","13"
"1085","13","13","13"
"1086","8","8","8"
"1087","16","16","16"
"1088","10","10","10"
"1089","11","11","11"
"1090","18","18","18"
"1091","12","12","12"
"1092","13","13","13"
"1093","12","12","12"
"1094","10","10","10"
"1095","11","11","11"
"1096","11","11","11"
"1097","26","26","26"
"1098","41","41","41"
"1099","13","13","13"
"1100","11","11","11"
"1101","14","14","14"
"1102","9","9","9"
"1103","12","12","12"
"1104","9","9","9"
"1105","10","10","10"
"1106","14","14","14"
"1107","10","10","10"
"1108","11","11","11"
"1109","11","11","11"
"1110","11","11","11"
"1111","12","12","12"
"1112","14","14","14"
"1113","19","19","19"
"1114","30","30","30"
"1115","11","11","11"
"1116","9","9","9"
"1117","19","19","19"
"1118","22","22","22"
"1119","19","19","19"
"1120","11","11","11"
"1121","11","11","11"
"1122","12","12","12"
"1123","11","11","11"
"1124","10","10","10"
"1125","11","11","11"
"1126","10","10","10"
"1127","17","17","17"
"1128","13","13","13"
"1129","13","13","13"
"1130","15","15","15"
"1131","20","20","20"
"1132","9","9","9"
"1133","11","11","11"
"1134","9","9","9"
"1135","10","10","10"
"1136","11","11","11"
"1137","35","35","35"
"1138","28","28","28"
"1139","46","46","46"
"1140","36","36","36"
"1141","53","53","53"
"1142","62","62","62"
"1143","65","65","65"
"1144","52","52","52"
"1145","58","58","58"
"1146","46","46","46"
"1147","52","52","52"
"1148","94","94","94"
"1149","56","56","56"
"1150","78","78","78"
"1151","366","366","366"
"1152","52","52","52"
"1153","117","117","117"
"1154","139","139","139"
"1155","76","76","76"
"1156","90","90","90"
"1157","66","66","66"
"1158","224","224","224"
"1159","58","58","58"
"1160","80","80","80"
"1161","84","84","84"
"1162","92","92","92"
"1163","87","87","87"
"1164","103","103","103"
"1165","73","73","73"
"1166","72","72","72"
"1167","110","110","110"
"1168","105","105","105"
"1169","218","218","218"
"1170","264","264","264"
"1171","167","167","167"
"1172","291","291","291"
"1173","96","96","96"
"1174","94","94","94"
"1175","93","93","93"
"1176","171","171","171"
"1177","261","261","261"
"1178","148","148","148"
"1179","263","263","263"
"1180","265","265","265"
"1181","171","171","171"
