"Step","full_policy_DDQN - DDPG_2/score","full_policy_DDQN - DDPG_2/score__MIN","full_policy_DDQN - DDPG_2/score__MAX"
"1182","301","301","301"
"1183","155","155","155"
"1184","181","181","181"
"1185","160","160","160"
"1186","178","178","178"
"1187","168","168","168"
"1188","160","160","160"
"1189","166","166","166"
"1190","169","169","169"
"1191","151","151","151"
"1192","260","260","260"
"1193","174","174","174"
"1194","149","149","149"
"1195","306","306","306"
"1196","156","156","156"
"1197","168","168","168"
"1198","172","172","172"
"1199","401","401","401"
"1200","203","203","203"
"1201","268","268","268"
"1202","154","154","154"
"1203","221","221","221"
"1204","197","197","197"
"1205","221","221","221"
"1206","199","199","199"
"1207","182","182","182"
"1208","207","207","207"
"1209","265","265","265"
"1210","201","201","201"
"1211","225","225","225"
"1212","363","363","363"
"1213","226","226","226"
"1214","169","169","169"
"1215","179","179","179"
"1216","265","265","265"
"1217","182","182","182"
"1218","353","353","353"
"1219","190","190","190"
"1220","169","169","169"
"1221","167","167","167"
"1222","151","151","151"
"1223","215","215","215"
"1224","237","237","237"
"1225","216","216","216"
"1226","175","175","175"
"1227","267","267","267"
"1228","219","219","219"
"1229","200","200","200"
"1230","186","186","186"
"1231","196","196","196"
"1232","179","179","179"
"1233","214","214","214"
"1234","231","231","231"
"1235","221","221","221"
"1236","214","214","214"
"1237","176","176","176"
"1238","303","303","303"
"1239","358","358","358"
"1240","200","200","200"
"1241","216","216","216"
"1242","341","341","341"
"1243","251","251","251"
"1244","194","194","194"
"1245","204","204","204"
"1246","226","226","226"
"1247","246","246","246"
"1248","207","207","207"
"1249","236","236","236"
"1250","390","390","390"
"1251","275","275","275"
"1252","254","254","254"
"1253","356","356","356"
"1254","222","222","222"
"1255","279","279","279"
"1256","248","248","248"
"1257","230","230","230"
"1258","243","243","243"
"1259","199","199","199"
"1260","232","232","232"
"1261","274","274","274"
"1262","309","309","309"
"1263","280","280","280"
"1264","246","246","246"
"1265","200","200","200"
"1266","156","156","156"
"1267","172","172","172"
"1268","259","259","259"
"1269","238","238","238"
"1270","208","208","208"
"1271","342","342","342"
"1272","210","210","210"
"1273","246","246","246"
"1274","208","208","208"
"1275","211","211","211"
"1276","302","302","302"
"1277","260","260","260"
"1278","208","208","208"
"1279","205","205","205"
"1280","243","243","243"
"1281","178","178","178"
"1282","197","197","197"
"1283","207","207","207"
"1284","199","199","199"
"1285","203","203","203"
"1286","196","196","196"
"1287","190","190","190"
"1288","337","337","337"
"1289","168","168","168"
"1290","187","187","187"
"1291","231","231","231"
"1292","192","192","192"
"1293","180","180","180"
"1294","249","249","249"
"1295","232","232","232"
"1296","226","226","226"
"1297","198","198","198"
"1298","276","276","276"
"1299","187","187","187"
"1300","247","247","247"
"1301","230","230","230"
"1302","247","247","247"
"1303","211","211","211"
"1304","312","312","312"
"1305","379","379","379"
"1306","200","200","200"
"1307","222","222","222"
"1308","398","398","398"
"1309","166","166","166"
"1310","201","201","201"
"1311","197","197","197"
"1312","178","178","178"
"1313","236","236","236"
"1314","227","227","227"
"1315","187","187","187"
"1316","183","183","183"
"1317","197","197","197"
"1318","184","184","184"
"1319","204","204","204"
"1320","286","286","286"
"1321","251","251","251"
"1322","253","253","253"
"1323","188","188","188"
"1324","215","215","215"
"1325","216","216","216"
"1326","165","165","165"
"1327","279","279","279"
"1328","224","224","224"
"1329","221","221","221"
"1330","234","234","234"
"1331","335","335","335"
"1332","185","185","185"
"1333","195","195","195"
"1334","221","221","221"
"1335","246","246","246"
"1336","240","240","240"
"1337","340","340","340"
"1338","284","284","284"
"1339","358","358","358"
"1340","223","223","223"
"1341","314","314","314"
"1342","226","226","226"
"1343","250","250","250"
"1344","179","179","179"
"1345","500","500","500"
"1346","298","298","298"
"1347","308","308","308"
