"Step","full_policy_DDQN - DDPG_0/score","full_policy_DDQN - DDPG_0/score__MIN","full_policy_DDQN - DDPG_0/score__MAX"
"448","43","43","43"
"449","11","11","11"
"450","48","48","48"
"451","11","11","11"
"452","21","21","21"
"453","26","26","26"
"454","21","21","21"
"455","36","36","36"
"456","18","18","18"
"457","10","10","10"
"458","13","13","13"
"459","12","12","12"
"460","57","57","57"
"461","18","18","18"
"462","22","22","22"
"463","12","12","12"
"464","21","21","21"
"465","22","22","22"
"466","11","11","11"
"467","18","18","18"
"468","19","19","19"
"469","15","15","15"
"470","13","13","13"
"471","17","17","17"
"472","9","9","9"
"473","13","13","13"
"474","12","12","12"
"475","9","9","9"
"476","16","16","16"
"477","15","15","15"
"478","14","14","14"
"479","10","10","10"
"480","26","26","26"
"481","11","11","11"
"482","13","13","13"
"483","13","13","13"
"484","20","20","20"
"485","17","17","17"
"486","14","14","14"
"487","10","10","10"
"488","12","12","12"
"489","13","13","13"
"490","11","11","11"
"491","9","9","9"
"492","9","9","9"
"493","11","11","11"
"494","10","10","10"
"495","9","9","9"
"496","13","13","13"
"497","12","12","12"
"498","8","8","8"
"499","12","12","12"
"500","12","12","12"
"501","8","8","8"
"502","24","24","24"
"503","14","14","14"
"504","17","17","17"
"505","9","9","9"
"506","11","11","11"
"507","11","11","11"
"508","13","13","13"
"509","9","9","9"
"510","13","13","13"
"511","13","13","13"
"512","11","11","11"
"513","10","10","10"
"514","13","13","13"
"515","9","9","9"
"516","12","12","12"
"517","10","10","10"
"518","14","14","14"
"519","12","12","12"
"520","12","12","12"
"521","9","9","9"
"522","10","10","10"
"523","10","10","10"
"524","14","14","14"
"525","15","15","15"
"526","9","9","9"
"527","13","13","13"
"528","13","13","13"
"529","17","17","17"
"530","13","13","13"
"531","11","11","11"
"532","9","9","9"
"533","12","12","12"
"534","9","9","9"
"535","13","13","13"
"536","11","11","11"
"537","10","10","10"
"538","20","20","20"
"539","22","22","22"
"540","29","29","29"
"541","24","24","24"
"542","29","29","29"
"543","126","126","126"
"544","77","77","77"
"545","34","34","34"
"546","49","49","49"
"547","164","164","164"
"548","53","53","53"
"549","65","65","65"
"550","72","72","72"
"551","110","110","110"
"552","79","79","79"
"553","43","43","43"
"554","62","62","62"
"555","210","210","210"
"556","75","75","75"
"557","175","175","175"
"558","289","289","289"
"559","122","122","122"
"560","162","162","162"
"561","296","296","296"
"562","248","248","248"
"563","258","258","258"
"564","231","231","231"
"565","368","368","368"
"566","206","206","206"
"567","192","192","192"
"568","232","232","232"
"569","211","211","211"
"570","330","330","330"
"571","302","302","302"
"572","210","210","210"
"573","219","219","219"
"574","179","179","179"
"575","174","174","174"
"576","174","174","174"
"577","183","183","183"
"578","161","161","161"
"579","177","177","177"
"580","167","167","167"
"581","156","156","156"
"582","150","150","150"
"583","161","161","161"
"584","154","154","154"
"585","171","171","171"
"586","150","150","150"
"587","173","173","173"
"588","140","140","140"
"589","158","158","158"
"590","150","150","150"
"591","153","153","153"
"592","133","133","133"
"593","141","141","141"
"594","145","145","145"
"595","144","144","144"
"596","159","159","159"
"597","168","168","168"
"598","152","152","152"
"599","158","158","158"
"600","158","158","158"
"601","152","152","152"
"602","148","148","148"
"603","154","154","154"
"604","144","144","144"
"605","145","145","145"
"606","137","137","137"
"607","138","138","138"
"608","172","172","172"
"609","172","172","172"
"610","152","152","152"
"611","144","144","144"
"612","144","144","144"
"613","160","160","160"
"614","186","186","186"
"615","167","167","167"
"616","146","146","146"
"617","187","187","187"
"618","182","182","182"
"619","181","181","181"
"620","199","199","199"
"621","202","202","202"
"622","173","173","173"
"623","177","177","177"
"624","183","183","183"
"625","184","184","184"
"626","188","188","188"
"627","191","191","191"
"628","190","190","190"
"629","162","162","162"
"630","186","186","186"
"631","178","178","178"
"632","174","174","174"
"633","198","198","198"
"634","208","208","208"
"635","186","186","186"
"636","185","185","185"
"637","171","171","171"
"638","163","163","163"
"639","158","158","158"
"640","147","147","147"
"641","133","133","133"
"642","137","137","137"
"643","137","137","137"
"644","138","138","138"
"645","147","147","147"
"646","150","150","150"
"647","142","142","142"
"648","143","143","143"
"649","145","145","145"
"650","143","143","143"
"651","149","149","149"
"652","148","148","148"
"653","141","141","141"
"654","157","157","157"
"655","149","149","149"
"656","158","158","158"
"657","141","141","141"
"658","146","146","146"
"659","148","148","148"
"660","175","175","175"
"661","145","145","145"
"662","166","166","166"
"663","153","153","153"
"664","170","170","170"
"665","142","142","142"
"666","149","149","149"
"667","149","149","149"
"668","167","167","167"
"669","177","177","177"
"670","180","180","180"
"671","152","152","152"
"672","163","163","163"
"673","173","173","173"
"674","182","182","182"
"675","166","166","166"
"676","178","178","178"
"677","182","182","182"
"678","173","173","173"
"679","188","188","188"
"680","196","196","196"
"681","174","174","174"
"682","159","159","159"
"683","179","179","179"
"684","177","177","177"
"685","185","185","185"
"686","203","203","203"
"687","183","183","183"
"688","191","191","191"
"689","220","220","220"
"690","190","190","190"
"691","191","191","191"
"692","176","176","176"
"693","184","184","184"
"694","188","188","188"
"695","214","214","214"
"696","187","187","187"
"697","204","204","204"
"698","207","207","207"
"699","241","241","241"
"700","249","249","249"
"701","253","253","253"
"702","243","243","243"
"703","239","239","239"
"704","164","164","164"
"705","184","184","184"
"706","177","177","177"
"707","170","170","170"
"708","233","233","233"
"709","224","224","224"
"710","185","185","185"
"711","278","278","278"
"712","281","281","281"
"713","211","211","211"
"714","260","260","260"
"715","246","246","246"
"716","187","187","187"
"717","211","211","211"
"718","229","229","229"
"719","241","241","241"
"720","300","300","300"
"721","385","385","385"
"722","348","348","348"
"723","261","261","261"
"724","321","321","321"
"725","288","288","288"
"726","253","253","253"
"727","296","296","296"
"728","227","227","227"
"729","259","259","259"
"730","230","230","230"
"731","228","228","228"
"732","471","471","471"
"733","338","338","338"
"734","190","190","190"
"735","354","354","354"
"736","337","337","337"
"737","312","312","312"
"738","268","268","268"
"739","269","269","269"
"740","426","426","426"
"741","370","370","370"
"742","500","500","500"
"743","500","500","500"
"744","500","500","500"
"745","500","500","500"
"746","475","475","475"
"747","303","303","303"
