"Step","DQfD_random_no_train - DQfD_4/score","DQfD_random_no_train - DQfD_4/score__MIN","DQfD_random_no_train - DQfD_4/score__MAX","DQfD_bad_data_under_100 - DQfD_4/score","DQfD_bad_data_under_100 - DQfD_4/score__MIN","DQfD_bad_data_under_100 - DQfD_4/score__MAX","DQfD_bad_data_100_to_300 - DQfD_4/score","DQfD_bad_data_100_to_300 - DQfD_4/score__MIN","DQfD_bad_data_100_to_300 - DQfD_4/score__MAX","DQfD_middle_300_400 - DQfD_4/score","DQfD_middle_300_400 - DQfD_4/score__MIN","DQfD_middle_300_400 - DQfD_4/score__MAX","DQfD_mixed_good_400_500 - DQfD_4/score","DQfD_mixed_good_400_500 - DQfD_4/score__MIN","DQfD_mixed_good_400_500 - DQfD_4/score__MAX","DQfD_perfect_data_500 - DQfD_4/score","DQfD_perfect_data_500 - DQfD_4/score__MIN","DQfD_perfect_data_500 - DQfD_4/score__MAX"
"1200","18","18","18","12","12","12","47","47","47","35","35","35","18","18","18","35","35","35"
"1201","33","33","33","20","20","20","14","14","14","11","11","11","25","25","25","15","15","15"
"1202","14","14","14","21","21","21","13","13","13","44","44","44","8","8","8","12","12","12"
"1203","31","31","31","15","15","15","14","14","14","16","16","16","25","25","25","14","14","14"
"1204","37","37","37","47","47","47","20","20","20","11","11","11","27","27","27","14","14","14"
"1205","22","22","22","24","24","24","43","43","43","35","35","35","12","12","12","12","12","12"
"1206","20","20","20","11","11","11","21","21","21","29","29","29","29","29","29","13","13","13"
"1207","35","35","35","11","11","11","21","21","21","43","43","43","28","28","28","54","54","54"
"1208","13","13","13","18","18","18","35","35","35","35","35","35","14","14","14","37","37","37"
"1209","25","25","25","49","49","49","21","21","21","28","28","28","41","41","41","19","19","19"
"1210","19","19","19","20","20","20","25","25","25","42","42","42","29","29","29","15","15","15"
"1211","13","13","13","17","17","17","15","15","15","28","28","28","33","33","33","112","112","112"
"1212","34","34","34","17","17","17","38","38","38","33","33","33","65","65","65","21","21","21"
"1213","15","15","15","11","11","11","17","17","17","52","52","52","37","37","37","23","23","23"
"1214","15","15","15","13","13","13","23","23","23","36","36","36","29","29","29","19","19","19"
"1215","23","23","23","45","45","45","9","9","9","43","43","43","94","94","94","17","17","17"
"1216","22","22","22","19","19","19","24","24","24","22","22","22","9","9","9","18","18","18"
"1217","76","76","76","15","15","15","17","17","17","77","77","77","10","10","10","13","13","13"
"1218","14","14","14","13","13","13","80","80","80","39","39","39","16","16","16","51","51","51"
"1219","40","40","40","12","12","12","32","32","32","68","68","68","126","126","126","69","69","69"
"1220","82","82","82","16","16","16","13","13","13","57","57","57","14","14","14","32","32","32"
"1221","78","78","78","19","19","19","23","23","23","56","56","56","85","85","85","60","60","60"
"1222","44","44","44","23","23","23","15","15","15","32","32","32","129","129","129","34","34","34"
"1223","61","61","61","34","34","34","24","24","24","71","71","71","63","63","63","42","42","42"
"1224","65","65","65","16","16","16","26","26","26","28","28","28","74","74","74","29","29","29"
"1225","82","82","82","11","11","11","23","23","23","84","84","84","115","115","115","29","29","29"
"1226","150","150","150","14","14","14","35","35","35","116","116","116","60","60","60","44","44","44"
"1227","85","85","85","15","15","15","27","27","27","46","46","46","43","43","43","107","107","107"
"1228","120","120","120","13","13","13","41","41","41","58","58","58","58","58","58","78","78","78"
"1229","76","76","76","21","21","21","79","79","79","300","300","300","90","90","90","70","70","70"
"1230","71","71","71","12","12","12","149","149","149","206","206","206","80","80","80","65","65","65"
"1231","74","74","74","16","16","16","123","123","123","127","127","127","107","107","107","99","99","99"
"1232","184","184","184","11","11","11","40","40","40","96","96","96","64","64","64","81","81","81"
"1233","94","94","94","13","13","13","41","41","41","88","88","88","68","68","68","56","56","56"
"1234","67","67","67","10","10","10","35","35","35","73","73","73","85","85","85","66","66","66"
"1235","64","64","64","11","11","11","42","42","42","124","124","124","94","94","94","39","39","39"
"1236","53","53","53","14","14","14","16","16","16","254","254","254","40","40","40","96","96","96"
"1237","59","59","59","16","16","16","20","20","20","500","500","500","62","62","62","100","100","100"
"1238","97","97","97","12","12","12","98","98","98","116","116","116","95","95","95","85","85","85"
"1239","69","69","69","12","12","12","51","51","51","159","159","159","81","81","81","60","60","60"
"1240","99","99","99","11","11","11","10","10","10","161","161","161","127","127","127","79","79","79"
"1241","61","61","61","14","14","14","12","12","12","500","500","500","186","186","186","71","71","71"
"1242","58","58","58","11","11","11","29","29","29","219","219","219","175","175","175","176","176","176"
"1243","56","56","56","16","16","16","16","16","16","198","198","198","127","127","127","60","60","60"
"1244","80","80","80","19","19","19","14","14","14","500","500","500","115","115","115","95","95","95"
"1245","120","120","120","16","16","16","25","25","25","408","408","408","75","75","75","368","368","368"
"1246","144","144","144","13","13","13","20","20","20","323","323","323","108","108","108","182","182","182"
"1247","86","86","86","17","17","17","39","39","39","369","369","369","500","500","500","304","304","304"
"1248","70","70","70","10","10","10","159","159","159","500","500","500","279","279","279","64","64","64"
"1249","50","50","50","11","11","11","154","154","154","500","500","500","142","142","142","69","69","69"
"1250","33","33","33","19","19","19","144","144","144","500","500","500","113","113","113","264","264","264"
"1251","41","41","41","12","12","12","180","180","180","432","432","432","240","240","240","72","72","72"
"1252","38","38","38","14","14","14","147","147","147","466","466","466","144","144","144","65","65","65"
"1253","46","46","46","11","11","11","82","82","82","384","384","384","406","406","406","121","121","121"
"1254","39","39","39","9","9","9","155","155","155","424","424","424","186","186","186","162","162","162"
"1255","49","49","49","11","11","11","225","225","225","500","500","500","164","164","164","500","500","500"
"1256","38","38","38","18","18","18","114","114","114","500","500","500","448","448","448","303","303","303"
"1257","45","45","45","10","10","10","143","143","143","500","500","500","154","154","154","72","72","72"
"1258","41","41","41","12","12","12","164","164","164","448","448","448","141","141","141","231","231","231"
"1259","36","36","36","11","11","11","133","133","133","291","291","291","153","153","153","116","116","116"
"1260","56","56","56","11","11","11","123","123","123","467","467","467","146","146","146","500","500","500"
"1261","44","44","44","14","14","14","500","500","500","500","500","500","173","173","173","80","80","80"
"1262","33","33","33","31","31","31","119","119","119","369","369","369","239","239","239","418","418","418"
"1263","160","160","160","60","60","60","145","145","145","500","500","500","494","494","494","88","88","88"
"1264","43","43","43","98","98","98","200","200","200","252","252","252","145","145","145","345","345","345"
"1265","63","63","63","51","51","51","179","179","179","425","425","425","153","153","153","500","500","500"
"1266","72","72","72","37","37","37","156","156","156","500","500","500","226","226","226","361","361","361"
"1267","51","51","51","60","60","60","141","141","141","500","500","500","182","182","182","94","94","94"
"1268","46","46","46","47","47","47","229","229","229","418","418","418","152","152","152","339","339","339"
