"Step","DQfD_random_no_train - DQfD_1/score","DQfD_random_no_train - DQfD_1/score__MIN","DQfD_random_no_train - DQfD_1/score__MAX","DQfD_bad_data_under_100 - DQfD_1/score","DQfD_bad_data_under_100 - DQfD_1/score__MIN","DQfD_bad_data_under_100 - DQfD_1/score__MAX","DQfD_bad_data_100_to_300 - DQfD_1/score","DQfD_bad_data_100_to_300 - DQfD_1/score__MIN","DQfD_bad_data_100_to_300 - DQfD_1/score__MAX","DQfD_middle_300_400 - DQfD_1/score","DQfD_middle_300_400 - DQfD_1/score__MIN","DQfD_middle_300_400 - DQfD_1/score__MAX","DQfD_mixed_good_400_500 - DQfD_1/score","DQfD_mixed_good_400_500 - DQfD_1/score__MIN","DQfD_mixed_good_400_500 - DQfD_1/score__MAX","DQfD_perfect_data_500 - DQfD_1/score","DQfD_perfect_data_500 - DQfD_1/score__MIN","DQfD_perfect_data_500 - DQfD_1/score__MAX"
"368","19","19","19","140","140","140","38","38","38","102","102","102","10","10","10","58","58","58"
"369","14","14","14","83","83","83","92","92","92","500","500","500","14","14","14","55","55","55"
"370","18","18","18","97","97","97","118","118","118","500","500","500","15","15","15","72","72","72"
"371","20","20","20","85","85","85","134","134","134","101","101","101","15","15","15","103","103","103"
"372","18","18","18","223","223","223","119","119","119","500","500","500","10","10","10","179","179","179"
"373","15","15","15","52","52","52","114","114","114","500","500","500","10","10","10","155","155","155"
"374","21","21","21","106","106","106","191","191","191","500","500","500","8","8","8","90","90","90"
"375","24","24","24","62","62","62","149","149","149","500","500","500","13","13","13","111","111","111"
"376","20","20","20","71","71","71","500","500","500","500","500","500","9","9","9","74","74","74"
"377","13","13","13","45","45","45","117","117","117","191","191","191","13","13","13","77","77","77"
"378","11","11","11","78","78","78","179","179","179","500","500","500","12","12","12","55","55","55"
"379","12","12","12","388","388","388","500","500","500","371","371","371","19","19","19","58","58","58"
"380","12","12","12","105","105","105","98","98","98","500","500","500","10","10","10","80","80","80"
"381","10","10","10","136","136","136","500","500","500","500","500","500","9","9","9","98","98","98"
"382","11","11","11","55","55","55","269","269","269","500","500","500","10","10","10","315","315","315"
"383","12","12","12","99","99","99","193","193","193","207","207","207","9","9","9","383","383","383"
"384","13","13","13","164","164","164","115","115","115","204","204","204","10","10","10","93","93","93"
"385","11","11","11","199","199","199","500","500","500","500","500","500","9","9","9","305","305","305"
"386","14","14","14","95","95","95","136","136","136","500","500","500","10","10","10","206","206","206"
"387","14","14","14","142","142","142","162","162","162","500","500","500","8","8","8","344","344","344"
"388","17","17","17","103","103","103","178","178","178","500","500","500","10","10","10","139","139","139"
"389","20","20","20","155","155","155","500","500","500","500","500","500","11","11","11","500","500","500"
"390","31","31","31","124","124","124","500","500","500","500","500","500","9","9","9","500","500","500"
"391","33","33","33","182","182","182","500","500","500","500","500","500","9","9","9","94","94","94"
"392","33","33","33","80","80","80","500","500","500","500","500","500","8","8","8","205","205","205"
"393","31","31","31","117","117","117","500","500","500","500","500","500","9","9","9","500","500","500"
"394","36","36","36","74","74","74","360","360","360","500","500","500","10","10","10","500","500","500"
"395","36","36","36","57","57","57","405","405","405","434","434","434","12","12","12","500","500","500"
"396","46","46","46","66","66","66","500","500","500","500","500","500","10","10","10","148","148","148"
"397","37","37","37","52","52","52","500","500","500","500","500","500","12","12","12","205","205","205"
"398","31","31","31","55","55","55","225","225","225","253","253","253","12","12","12","456","456","456"
"399","37","37","37","159","159","159","481","481","481","341","341","341","9","9","9","287","287","287"
"400","43","43","43","240","240","240","395","395","395","363","363","363","12","12","12","500","500","500"
"401","43","43","43","175","175","175","500","500","500","388","388","388","8","8","8","152","152","152"
"402","33","33","33","71","71","71","500","500","500","332","332","332","11","11","11","500","500","500"
"403","29","29","29","146","146","146","288","288","288","498","498","498","9","9","9","500","500","500"
"404","41","41","41","92","92","92","213","213","213","354","354","354","10","10","10","500","500","500"
"405","48","48","48","61","61","61","500","500","500","395","395","395","9","9","9","500","500","500"
"406","42","42","42","183","183","183","500","500","500","500","500","500","11","11","11","245","245","245"
"407","33","33","33","76","76","76","263","263","263","500","500","500","12","12","12","333","333","333"
"408","26","26","26","89","89","89","500","500","500","500","500","500","9","9","9","500","500","500"
"409","28","28","28","142","142","142","305","305","305","324","324","324","10","10","10","500","500","500"
"410","23","23","23","68","68","68","500","500","500","290","290","290","10","10","10","432","432","432"
"411","20","20","20","119","119","119","500","500","500","448","448","448","11","11","11","391","391","391"
"412","27","27","27","127","127","127","500","500","500","500","500","500","10","10","10","500","500","500"
"413","24","24","24","186","186","186","500","500","500","430","430","430","11","11","11","500","500","500"
"414","23","23","23","153","153","153","500","500","500","267","267","267","10","10","10","388","388","388"
"415","29","29","29","174","174","174","500","500","500","458","458","458","10","10","10","480","480","480"
"416","34","34","34","81","81","81","500","500","500","354","354","354","10","10","10","266","266","266"
"417","25","25","25","146","146","146","500","500","500","254","254","254","9","9","9","295","295","295"
"418","23","23","23","70","70","70","500","500","500","500","500","500","9","9","9","446","446","446"
"419","14","14","14","102","102","102","314","314","314","485","485","485","9","9","9","500","500","500"
"420","15","15","15","114","114","114","500","500","500","411","411","411","11","11","11","500","500","500"
"421","21","21","21","104","104","104","500","500","500","470","470","470","13","13","13","500","500","500"
"422","25","25","25","143","143","143","500","500","500","282","282","282","14","14","14","361","361","361"
"423","30","30","30","72","72","72","269","269","269","500","500","500","9","9","9","362","362","362"
"424","33","33","33","83","83","83","295","295","295","408","408","408","9","9","9","270","270","270"
"425","43","43","43","69","69","69","348","348","348","461","461","461","10","10","10","500","500","500"
"426","25","25","25","93","93","93","273","273","273","500","500","500","11","11","11","313","313","313"
"427","19","19","19","140","140","140","500","500","500","407","407","407","12","12","12","500","500","500"
"428","24","24","24","95","95","95","422","422","422","244","244","244","11","11","11","500","500","500"
"429","35","35","35","159","159","159","281","281","281","200","200","200","9","9","9","500","500","500"
"430","30","30","30","187","187","187","500","500","500","254","254","254","10","10","10","500","500","500"
"431","25","25","25","253","253","253","283","283","283","158","158","158","11","11","11","340","340","340"
"432","35","35","35","139","139","139","221","221","221","184","184","184","39","39","39","500","500","500"
"433","33","33","33","79","79","79","182","182","182","347","347","347","56","56","56","500","500","500"
"434","33","33","33","114","114","114","294","294","294","275","275","275","15","15","15","500","500","500"
"435","22","22","22","99","99","99","258","258","258","500","500","500","9","9","9","418","418","418"
"436","16","16","16","67","67","67","306","306","306","257","257","257","9","9","9","500","500","500"
"437","21","21","21","82","82","82","326","326","326","173","173","173","9","9","9","451","451","451"
"438","19","19","19","183","183","183","202","202","202","460","460","460","8","8","8","500","500","500"
"439","28","28","28","147","147","147","500","500","500","287","287","287","9","9","9","500","500","500"
"440","48","48","48","155","155","155","265","265","265","239","239","239","10","10","10","500","500","500"
"441","42","42","42","125","125","125","244","244","244","242","242","242","11","11","11","500","500","500"
"442","42","42","42","179","179","179","229","229","229","162","162","162","11","11","11","375","375","375"
"443","60","60","60","134","134","134","317","317","317","254","254","254","10","10","10","500","500","500"
"444","37","37","37","148","148","148","296","296","296","152","152","152","11","11","11","384","384","384"
"445","52","52","52","201","201","201","500","500","500","147","147","147","10","10","10","500","500","500"
"446","58","58","58","112","112","112","354","354","354","172","172","172","9","9","9","322","322","322"
"447","34","34","34","88","88","88","500","500","500","173","173","173","10","10","10","500","500","500"
"448","20","20","20","390","390","390","261","261","261","229","229","229","36","36","36","303","303","303"
"449","15","15","15","114","114","114","480","480","480","387","387","387","9","9","9","500","500","500"
"450","18","18","18","95","95","95","368","368","368","354","354","354","10","10","10","373","373","373"
"451","28","28","28","100","100","100","500","500","500","174","174","174","10","10","10","500","500","500"
