"Step","DQfD_random_no_train - DQfD_2/score","DQfD_random_no_train - DQfD_2/score__MIN","DQfD_random_no_train - DQfD_2/score__MAX","DQfD_bad_data_under_100 - DQfD_2/score","DQfD_bad_data_under_100 - DQfD_2/score__MIN","DQfD_bad_data_under_100 - DQfD_2/score__MAX","DQfD_bad_data_100_to_300 - DQfD_2/score","DQfD_bad_data_100_to_300 - DQfD_2/score__MIN","DQfD_bad_data_100_to_300 - DQfD_2/score__MAX","DQfD_middle_300_400 - DQfD_2/score","DQfD_middle_300_400 - DQfD_2/score__MIN","DQfD_middle_300_400 - DQfD_2/score__MAX","DQfD_mixed_good_400_500 - DQfD_2/score","DQfD_mixed_good_400_500 - DQfD_2/score__MIN","DQfD_mixed_good_400_500 - DQfD_2/score__MAX","DQfD_perfect_data_500 - DQfD_2/score","DQfD_perfect_data_500 - DQfD_2/score__MIN","DQfD_perfect_data_500 - DQfD_2/score__MAX"
"600","19","19","19","74","74","74","11","11","11","29","29","29","14","14","14","20","20","20"
"601","22","22","22","19","19","19","21","21","21","12","12","12","36","36","36","34","34","34"
"602","23","23","23","18","18","18","14","14","14","14","14","14","9","9","9","47","47","47"
"603","16","16","16","23","23","23","30","30","30","36","36","36","26","26","26","12","12","12"
"604","34","34","34","44","44","44","87","87","87","34","34","34","12","12","12","22","22","22"
"605","10","10","10","15","15","15","15","15","15","23","23","23","34","34","34","15","15","15"
"606","14","14","14","35","35","35","17","17","17","18","18","18","25","25","25","16","16","16"
"607","33","33","33","13","13","13","53","53","53","29","29","29","26","26","26","18","18","18"
"608","33","33","33","12","12","12","30","30","30","50","50","50","45","45","45","24","24","24"
"609","61","61","61","19","19","19","24","24","24","17","17","17","16","16","16","11","11","11"
"610","35","35","35","20","20","20","14","14","14","15","15","15","26","26","26","20","20","20"
"611","19","19","19","20","20","20","27","27","27","15","15","15","26","26","26","10","10","10"
"612","38","38","38","19","19","19","22","22","22","9","9","9","37","37","37","51","51","51"
"613","10","10","10","10","10","10","17","17","17","20","20","20","49","49","49","30","30","30"
"614","13","13","13","13","13","13","18","18","18","22","22","22","72","72","72","14","14","14"
"615","15","15","15","9","9","9","16","16","16","14","14","14","51","51","51","9","9","9"
"616","12","12","12","12","12","12","40","40","40","52","52","52","26","26","26","13","13","13"
"617","16","16","16","17","17","17","121","121","121","24","24","24","19","19","19","36","36","36"
"618","16","16","16","20","20","20","28","28","28","13","13","13","60","60","60","83","83","83"
"619","10","10","10","21","21","21","14","14","14","29","29","29","62","62","62","16","16","16"
"620","11","11","11","17","17","17","37","37","37","14","14","14","44","44","44","40","40","40"
"621","28","28","28","13","13","13","70","70","70","28","28","28","49","49","49","37","37","37"
"622","11","11","11","25","25","25","14","14","14","33","33","33","36","36","36","22","22","22"
"623","14","14","14","17","17","17","35","35","35","12","12","12","48","48","48","13","13","13"
"624","19","19","19","17","17","17","13","13","13","12","12","12","26","26","26","34","34","34"
"625","13","13","13","14","14","14","141","141","141","54","54","54","56","56","56","62","62","62"
"626","11","11","11","12","12","12","108","108","108","37","37","37","73","73","73","69","69","69"
"627","15","15","15","13","13","13","49","49","49","49","49","49","40","40","40","20","20","20"
"628","21","21","21","13","13","13","39","39","39","13","13","13","11","11","11","36","36","36"
"629","11","11","11","19","19","19","144","144","144","12","12","12","11","11","11","12","12","12"
"630","26","26","26","15","15","15","118","118","118","9","9","9","14","14","14","8","8","8"
"631","11","11","11","17","17","17","73","73","73","14","14","14","10","10","10","63","63","63"
"632","12","12","12","11","11","11","46","46","46","19","19","19","9","9","9","60","60","60"
"633","12","12","12","10","10","10","31","31","31","13","13","13","32","32","32","57","57","57"
"634","9","9","9","13","13","13","34","34","34","13","13","13","19","19","19","27","27","27"
"635","18","18","18","16","16","16","36","36","36","12","12","12","68","68","68","30","30","30"
"636","12","12","12","11","11","11","40","40","40","55","55","55","51","51","51","23","23","23"
"637","15","15","15","10","10","10","29","29","29","13","13","13","39","39","39","67","67","67"
"638","21","21","21","12","12","12","169","169","169","15","15","15","29","29","29","82","82","82"
"639","14","14","14","85","85","85","77","77","77","12","12","12","12","12","12","12","12","12"
"640","13","13","13","84","84","84","165","165","165","9","9","9","40","40","40","10","10","10"
"641","14","14","14","17","17","17","111","111","111","14","14","14","60","60","60","10","10","10"
"642","12","12","12","134","134","134","246","246","246","10","10","10","75","75","75","12","12","12"
"643","17","17","17","75","75","75","114","114","114","11","11","11","79","79","79","72","72","72"
"644","16","16","16","33","33","33","249","249","249","47","47","47","58","58","58","10","10","10"
"645","21","21","21","86","86","86","279","279","279","33","33","33","50","50","50","20","20","20"
"646","24","24","24","44","44","44","308","308","308","16","16","16","10","10","10","9","9","9"
"647","11","11","11","152","152","152","154","154","154","9","9","9","93","93","93","9","9","9"
"648","17","17","17","75","75","75","144","144","144","10","10","10","40","40","40","12","12","12"
"649","12","12","12","191","191","191","170","170","170","57","57","57","39","39","39","12","12","12"
"650","12","12","12","46","46","46","239","239","239","10","10","10","36","36","36","40","40","40"
"651","12","12","12","74","74","74","229","229","229","11","11","11","166","166","166","89","89","89"
"652","13","13","13","77","77","77","158","158","158","53","53","53","79","79","79","29","29","29"
"653","9","9","9","82","82","82","176","176","176","12","12","12","73","73","73","27","27","27"
"654","15","15","15","83","83","83","156","156","156","11","11","11","32","32","32","87","87","87"
"655","15","15","15","85","85","85","129","129","129","13","13","13","54","54","54","88","88","88"
"656","12","12","12","109","109","109","134","134","134","9","9","9","58","58","58","82","82","82"
"657","9","9","9","63","63","63","154","154","154","13","13","13","35","35","35","85","85","85"
"658","14","14","14","86","86","86","153","153","153","10","10","10","59","59","59","49","49","49"
"659","9","9","9","50","50","50","154","154","154","10","10","10","47","47","47","50","50","50"
"660","11","11","11","81","81","81","173","173","173","9","9","9","28","28","28","31","31","31"
"661","12","12","12","123","123","123","146","146","146","12","12","12","37","37","37","45","45","45"
"662","12","12","12","82","82","82","148","148","148","9","9","9","56","56","56","152","152","152"
"663","9","9","9","80","80","80","239","239","239","10","10","10","35","35","35","232","232","232"
"664","11","11","11","57","57","57","171","171","171","17","17","17","24","24","24","79","79","79"
"665","9","9","9","63","63","63","155","155","155","9","9","9","39","39","39","10","10","10"
"666","14","14","14","53","53","53","119","119","119","8","8","8","36","36","36","11","11","11"
"667","10","10","10","49","49","49","154","154","154","12","12","12","53","53","53","10","10","10"
"668","10","10","10","66","66","66","137","137","137","11","11","11","38","38","38","9","9","9"
"669","10","10","10","59","59","59","152","152","152","12","12","12","43","43","43","9","9","9"
"670","18","18","18","85","85","85","148","148","148","9","9","9","57","57","57","9","9","9"
"671","10","10","10","48","48","48","155","155","155","22","22","22","49","49","49","9","9","9"
"672","9","9","9","241","241","241","204","204","204","9","9","9","41","41","41","9","9","9"
"673","13","13","13","140","140","140","262","262","262","20","20","20","43","43","43","9","9","9"
"674","11","11","11","71","71","71","146","146","146","10","10","10","57","57","57","10","10","10"
"675","10","10","10","85","85","85","210","210","210","9","9","9","59","59","59","8","8","8"
"676","12","12","12","59","59","59","500","500","500","11","11","11","57","57","57","47","47","47"
"677","11","11","11","128","128","128","167","167","167","9","9","9","54","54","54","54","54","54"
"678","10","10","10","189","189","189","236","236","236","9","9","9","41","41","41","79","79","79"
"679","13","13","13","217","217","217","199","199","199","14","14","14","48","48","48","107","107","107"
"680","10","10","10","117","117","117","331","331","331","11","11","11","87","87","87","42","42","42"
"681","10","10","10","275","275","275","500","500","500","12","12","12","52","52","52","9","9","9"
"682","9","9","9","71","71","71","341","341","341","12","12","12","358","358","358","8","8","8"
"683","16","16","16","49","49","49","170","170","170","12","12","12","59","59","59","9","9","9"
